case	expected	streaming	final	edit_distance	ref_chars	cer	exact	raw_cer	english_errors	english_reference	number_errors	number_reference	punctuation_errors	punctuation_reference	code_errors	code_reference
S-001	今天我们先测试一下麦克风，看看中文语音输入能不能稳定识别。	今天我们先测试一下麦克风看看中文语音输入能不能稳定识别	今天我们先测试一下麦克风看看中文语音输入能不能稳定识别	0	27	0.000000	1	0.068966	0	0	0	0	2	2	0	0
S-002	我刚才插上了麦克风，现在想用语音来控制电脑输入文字。	我刚才插上了麦克风现在想用语音来控制电脑输入文字	我刚才插上了麦克风现在想用语音来控制电脑输入文字	0	24	0.000000	1	0.076923	0	0	0	0	2	2	0	0
S-003	这个项目的目标是让我在日常写作和编程的时候，都可以直接说话输入。	这个项目的目标是让我在日常协作和编程的时候都可以直接说话输入	这个项目的目标是让我在日常协作和编程的时候都可以直接说话输入	1	30	0.033333	0	0.093750	0	0	0	0	2	2	0	0
S-004	请帮我打开终端，然后切换到 laopan voice input method 这个项目目录。	请帮我打开终端然后切换到老潘 voice input method ge 这个项目目	请帮我打开终端然后切换到老潘 voice input method ge 这个项目目	9	40	0.225000	0	0.276596	2	4	0	0	2	2	0	0
S-005	我希望识别结果不仅中文准确，英文单词、数字、标点和代码变量名也不要乱改。	我希望识别结果不仅中文准确英文单词数字标点和代码变量名也不要乱改	我希望识别结果不仅中文准确英文单词数字标点和代码变量名也不要乱改	0	32	0.000000	1	0.111111	0	0	0	0	4	4	0	0
S-006	明天上午十点半，我们一起看一下 pull request 和 GitHub Actions 的结果。	明天上午十点半我们一起起看一下 poll request 和 get help actions 的结	明天上午十点半我们一起起看一下 poll request 和 get help actions 的结	7	42	0.166667	0	0.200000	3	4	0	0	2	2	0	0
S-007	这个 API 的 timeout 先设置成两秒，后面再根据延迟数据调整。	好个 a p p i 的 time out 先设置成两秒后面再根据延迟数据调整	好个 a p p i 的 time out 先设置成两秒后面再根据延迟数据调整	2	30	0.066667	0	0.222222	6	2	0	0	2	2	0	0
S-008	Python 脚本读取 wav 文件，然后调用 sherpa onnx 做离线识别。	python 脚本读取 wav 文件然后调用下盘 a o n n x 做离线识	python 脚本读取 wav 文件然后调用下盘 a o n n x 做离线识	6	34	0.176471	0	0.285714	5	4	0	0	2	2	0	0
S-009	如果用户说 user_id 等于 12345，不要把下划线或者数字吞掉。	如果用户说 usid d 等于二三三四五不要把下划线或者数字吞	如果用户说 usid d 等于二三三四五不要把下划线或者数字吞	10	31	0.322581	0	0.361111	2	1	1	1	3	3	1	1
S-010	这个函数叫 updateSession，它负责把临时文本替换成最终文本。	做个函数叫 update sesion 他负责把临时文本替换成最终文本	做个函数叫 update sesion 他负责把临时文本替换成最终文本	3	33	0.090909	0	0.166667	2	1	0	0	2	2	0	0
S-011	二零二六年九月二十一日，版本号是 v1.3.7，价格是 19.99 美元。	二零二六年九月二十一日潘本号 v 一点三点七价格是十九点九九美元	二零二六年九月二十一日潘本号 v 一点三点七价格是十九点九九美元	12	31	0.387097	0	0.459459	0	1	2	2	6	6	0	0
S-012	请记录三个数字，分别是负十、一点五和三千零八。	请记录三个数字分别是负十一点五和三千零八	请记录三个数字分别是负十一点五和三千零八	0	20	0.000000	1	0.130435	0	0	0	0	3	3	0	0
S-013	订单编号 A B C 横杠 2026 下划线 test，请不要自动改成普通中文。	订单编号 a b c 横杠二零二六下划线 test 请不要自动改成普通中	订单编号 a b c 横杠二零二六下划线 test 请不要自动改成普通中	5	31	0.161290	0	0.225000	0	4	1	1	2	2	0	0
S-014	我今天写了大约一千二百字，准确率希望能达到百分之九十九。	我今天写了大约一千二百次准确率希望能达到百分之九十	我今天写了大约一千二百次准确率希望能达到百分之九十	2	26	0.076923	0	0.142857	0	0	0	0	2	2	0	0
S-015	这个 bug 偶尔出现，大概十次里面会复现两到三次。	这个 bug 偶尔出现大概十次里会浮现两到三次	这个 bug 偶尔出现大概十次里会浮现两到三次	2	22	0.090909	0	0.153846	0	1	0	0	2	2	0	0
S-016	嗯，我想一下，这句话先不要提交，等我确认以后再保存。	我们嗯我想一下这句话先不要提交等我确认以后再保存	我们嗯我想一下这句话先不要提交等我确认以后再保存	2	22	0.090909	0	0.230769	0	0	0	0	4	4	0	0
S-017	刚才那段删掉，重新写成：我们需要一个更稳的语音输入流程。	刚才那段删掉重新写成我们需要一个更稳的语音输入流程	刚才那段删掉重新写成我们需要一个更稳的语音输入流程	1	26	0.038462	0	0.107143	0	0	0	0	3	3	0	0
S-018	我说话的时候可能会停顿，也可能会自我修正，系统要能处理这种情况。	我说话的时候可能会停顿也可能会自我纠正系统要能处理这种情况	我说话的时候可能会停顿也可能会自我纠正系统要能处理这种情况	1	29	0.034483	0	0.125000	0	0	0	0	3	3	0	0
S-019	如果最后识别结果不确定，就保留原文，不要为了通顺强行改写。	如果最后识别结果不确定其就保留原文不要为了通顺强行改写	如果最后识别结果不确定其就保留原文不要为了通顺强行改写	1	26	0.038462	0	0.103448	0	0	0	0	3	3	0	0
S-020	现在我要测试一段比较长的句子，里面包含中文、English words、数字 42，以及一点点停顿。	我现在要测试一段比较长的句子里面包含中文 english words 数字四二以及一点点停顿	我现在要测试一段比较长的句子里面包含中文 english words 数字四二以及一点点停顿	4	43	0.093023	0	0.200000	0	2	1	1	5	5	0	0
S-021	打开 VS Code，搜索 FinalRecognizer，然后看一下异常处理有没有覆盖测试。	打开 vs code 搜索 final recognizer 然后查看一下异常处理有没有覆盖测试	打开 vs code 搜索 final recognizer 然后查看一下异常处理有没有覆盖测试	1	41	0.024390	0	0.106383	2	3	0	0	3	3	0	0
S-022	把环境变量 VOICEIME_ENABLE_LLM 设置为零，再重新启动 systemd 用户服务。	把环境变量 worice i m e n able l u m 设置为零再重启启动 system 用户服务	把环境变量 worice i m e n able l u m 设置为零再重启启动 system 用户服务	8	44	0.181818	0	0.320000	10	2	0	0	4	4	1	1
S-023	这条命令是 git commit -m fix voice input safety，不要把横杠删掉。	这条命令是 get commit 杠 m fix voice input safety 不要把横杠删掉	这条命令是 get commit 杠 m fix voice input safety 不要把横杠删掉	2	42	0.047619	0	0.098039	1	7	0	0	3	3	0	0
S-024	日志里看到 endpoint triggered，但是最终文本是空字符串。	日志里看到 end point trigger red 最终终文本是控制符	日志里看到 end point trigger red 最终终文本是控制符	7	33	0.212121	0	0.297297	4	2	0	0	2	2	0	0
S-025	如果麦克风源切换了，请优先选择 USB 设备，而不是显示器的 monitor source。	如果麦克风源切换了其优先选择 us b 设备而不是显示器的 monitor source	如果麦克风源切换了其优先选择 us b 设备而不是显示器的 monitor source	1	39	0.025641	0	0.108696	2	3	0	0	3	3	0	0
S-026	今天下午我想连续录三十条样本，然后用独立的十条样本做验收。	今天下午我想连续录三十条样本然后用独立的十条样本做验收	今天下午我想连续录三十条样本然后用独立的十条样本做验收	0	27	0.000000	1	0.068966	0	0	0	0	2	2	0	0
